seed,phase,update,revenue,ir_regret,gamma,elapsed_seconds
2,baseline,1,1.4969737529754639,,,4.33058437499858
2,baseline,1000,2.941679000854492,,,2280.5341037499966
2,baseline,2000,2.973463535308838,,,3352.385881041999
2,baseline,3000,2.996201515197754,,,4411.658531166999
2,baseline,4000,2.9844632148742676,,,5388.058794958
2,baseline,5000,3.054340124130249,,,6964.0919885829935
2,baseline,6000,3.048616886138916,,,7931.232828417
2,baseline,7000,3.0343523025512695,,,8916.653668332998
2,baseline,8000,3.0407702922821045,,,9694.278829625
2,baseline,9000,3.0201025009155273,,,10640.717836999997
2,baseline,10000,3.031045436859131,,,11510.793102958
2,baseline,11000,3.0558598041534424,,,13256.338872458
2,baseline,12000,3.075209140777588,,,15235.339598999999
2,baseline,13000,3.0516865253448486,,,16899.324118792
2,baseline,14000,3.067903995513916,,,17778.81768375
2,baseline,15000,3.0802226066589355,,,18601.517403832993
2,baseline,16000,3.0486156940460205,,,19556.093354792
2,baseline,17000,3.0667500495910645,,,20542.877729124993
2,baseline,18000,3.09564471244812,,,21467.767092167
2,baseline,19000,3.0825047492980957,,,22290.491745666994
2,baseline,20000,3.0723533630371094,,,23635.588925999997
2,baseline,21000,3.1012814044952393,,,24556.275771082997
2,baseline,22000,3.0600123405456543,,,25380.061449832996
2,baseline,23000,3.110198497772217,,,26140.409976457995
2,baseline,24000,3.0668394565582275,,,26914.833571083
2,baseline,25000,3.07484769821167,,,27724.859784166998
2,baseline,26000,3.105208158493042,,,28524.054623332995
2,baseline,27000,3.0832784175872803,,,29303.45293175
2,baseline,28000,3.0898287296295166,,,30082.989393666998
2,baseline,29000,3.1155052185058594,,,30928.979935583004
2,baseline,30000,3.111821413040161,,,31748.407532083
2,baseline,31000,3.0802626609802246,,,32578.990322125
2,baseline,32000,3.110586166381836,,,33501.62925729199
2,mutual,1,1.3452489376068115,0.0,8.0,0.8323854579939507
2,mutual,1000,3.3250317573547363,0.007403226103633642,17.212341779380445,899.339179290997
2,mutual,2000,3.371098041534424,0.0023387593682855368,20.0,1715.9837202500057
2,mutual,3000,3.4380366802215576,0.00458504119887948,20.0,2504.5917230829946
2,mutual,4000,3.4361817836761475,0.0030420958064496517,20.0,3287.2735810830054
2,mutual,5000,3.450223684310913,0.004172137007117271,20.0,4083.982582541008
2,mutual,6000,3.49530029296875,0.0044069308787584305,20.0,4877.286853540994
2,mutual,7000,3.4800970554351807,0.005438053980469704,20.0,5674.701440457997
2,mutual,8000,3.485473155975342,0.005083510652184486,20.0,6478.659713582994
2,mutual,9000,3.54984712600708,0.007159340661019087,20.0,7273.779760916004
2,mutual,10000,3.5452399253845215,0.008705630898475647,20.0,8054.901882499995
2,mutual,11000,3.5231010913848877,0.006162554491311312,20.0,8858.949819165995
2,mutual,12000,3.5277395248413086,0.005200222600251436,20.0,9645.864494082998
2,mutual,13000,3.521449327468872,0.005155700258910656,20.0,10453.718438083
2,mutual,14000,3.5237717628479004,0.006837377790361643,20.0,11263.450239416008
2,mutual,15000,3.568073034286499,0.006173368077725172,20.0,12018.102968708
2,mutual,16000,3.535407066345215,0.006656566169112921,20.0,12756.612602374997
2,post,1,3.517975330352783,0.007030054926872253,20.0,12757.015725791003
2,post,1000,3.549126148223877,0.005997892934828997,20.0,13073.018930082995
2,post,2000,3.5551581382751465,0.0053693437948822975,20.0,13390.893080374997
2,post,3000,3.531363010406494,0.005327632650732994,20.0,13706.507745915995
2,post,4000,3.585035800933838,0.00720419455319643,20.0,14023.863542374995
2,post,5000,3.560814380645752,0.006547888740897179,20.0,14341.459286750003
2,post,6000,3.5510666370391846,0.0055521330796182156,20.0,14659.999967208001
2,post,7000,3.555262565612793,0.008186078630387783,20.0,14984.405776375002
2,post,8000,3.5910582542419434,0.0072989738546311855,20.0,15302.063233708002
2,post,9000,3.566924571990967,0.006322979461401701,20.0,15619.170324374994
2,post,10000,3.5381217002868652,0.004478808492422104,20.0,15938.311729207999
2,post,11000,3.579149007797241,0.00910293497145176,20.0,16266.399124832998
2,post,12000,3.532111406326294,0.004181231372058392,20.0,16598.487647916
2,post,13000,3.5869240760803223,0.0023363707587122917,20.0,16929.473177875
2,post,14000,3.574702739715576,0.00510810874402523,20.0,17262.177871875
2,post,15000,3.582221508026123,0.005390602629631758,20.0,17594.619612249997
2,post,16000,3.5796375274658203,0.005939359776675701,20.0,17920.837120958007
