seed,phase,update,revenue,ir_regret,gamma,elapsed_seconds
5,baseline,1,1.2546947002410889,,,4.546548874997825
5,baseline,1000,2.928983688354492,,,2281.2244026670014
5,baseline,2000,2.9912126064300537,,,3354.561738958997
5,baseline,3000,3.0096235275268555,,,4418.994794209
5,baseline,4000,2.9853172302246094,,,5390.325706459
5,baseline,5000,3.0235300064086914,,,6971.549290709001
5,baseline,6000,3.0333147048950195,,,7938.798353124999
5,baseline,7000,3.071213722229004,,,8920.932907167
5,baseline,8000,3.0262880325317383,,,9694.423342083996
5,baseline,9000,3.0456488132476807,,,10641.250409791995
5,baseline,10000,2.958860158920288,,,11511.362608874995
5,baseline,11000,3.075862407684326,,,13255.659514667
5,baseline,12000,3.0584118366241455,,,15226.687237166996
5,baseline,13000,3.073660373687744,,,16884.64234425
5,baseline,14000,3.0246284008026123,,,17767.671513584
5,baseline,15000,3.045177698135376,,,18591.530720249997
5,baseline,16000,3.0704829692840576,,,19546.814137417
5,baseline,17000,3.0789852142333984,,,20527.225001624996
5,baseline,18000,3.0288612842559814,,,21460.633989999995
5,baseline,19000,3.04671049118042,,,22282.07636125
5,baseline,20000,3.093508243560791,,,23623.805294667
5,baseline,21000,3.0601112842559814,,,24541.892387209
5,baseline,22000,3.0805177688598633,,,25362.353557999995
5,baseline,23000,3.0902435779571533,,,26120.113183167
5,baseline,24000,3.0874032974243164,,,26894.877945333996
5,baseline,25000,3.085045099258423,,,27702.398900792003
5,baseline,26000,3.027684450149536,,,28498.985405333995
5,baseline,27000,3.0471551418304443,,,29279.980381375004
5,baseline,28000,3.023766040802002,,,30055.880009417
5,baseline,29000,3.021730661392212,,,30900.325879416996
5,baseline,30000,3.0504000186920166,,,31727.618746875
5,baseline,31000,3.061056137084961,,,32551.352116291993
5,baseline,32000,3.0702285766601562,,,33472.193724625
5,mutual,1,1.2479695081710815,9.905750630423427e-06,8.0,0.7983955829986371
5,mutual,1000,3.2799222469329834,0.004289188887923956,18.35645396045625,901.3411218330002
5,mutual,2000,3.3372437953948975,0.0034680780954658985,20.0,1719.4603591249906
5,mutual,3000,3.4179012775421143,0.004820144735276699,20.0,2510.058506165995
5,mutual,4000,3.472432851791382,0.005271534901112318,20.0,3290.6201365409943
5,mutual,5000,3.4080986976623535,0.0024768810253590345,20.0,4085.2796962499997
5,mutual,6000,3.456146001815796,0.004742768593132496,20.0,4882.455676832993
5,mutual,7000,3.485008716583252,0.006139468401670456,20.0,5675.913276833002
5,mutual,8000,3.513249397277832,0.006228271871805191,20.0,6474.189107165992
5,mutual,9000,3.4957337379455566,0.004866654518991709,20.0,7265.391806415995
5,mutual,10000,3.5415453910827637,0.004988580476492643,20.0,8046.537217541001
5,mutual,11000,3.4863572120666504,0.004562249407172203,20.0,8853.517385
5,mutual,12000,3.5129127502441406,0.005278923083096743,20.0,9634.803869832991
5,mutual,13000,3.5259950160980225,0.006127313710749149,20.0,10437.106169166
5,mutual,14000,3.5268774032592773,0.006585878320038319,20.0,11245.693342625003
5,mutual,15000,3.531552791595459,0.005130846984684467,20.0,12002.266535624993
5,mutual,16000,3.5409605503082275,0.00665972288697958,20.0,12741.401826375004
5,post,1,3.563417911529541,0.0069861444644629955,20.0,12741.70817954099
5,post,1000,3.553783893585205,0.005768402945250273,20.0,13055.586216124997
5,post,2000,3.526219129562378,0.004276499152183533,20.0,13370.732683583003
5,post,3000,3.552138328552246,0.006570919882506132,20.0,13689.890802499998
5,post,4000,3.515671730041504,0.003800339065492153,20.0,14009.536249750003
5,post,5000,3.5597832202911377,0.005740119144320488,20.0,14329.720203707999
5,post,6000,3.579437017440796,0.007119364570826292,20.0,14648.105750957999
5,post,7000,3.5548958778381348,0.006486296653747559,20.0,14972.495338249995
5,post,8000,3.53651762008667,0.003426319919526577,20.0,15290.719492457996
5,post,9000,3.565349578857422,0.0054343389347195625,20.0,15608.052464624998
5,post,10000,3.5878376960754395,0.00965823233127594,20.0,15927.080140749997
5,post,11000,3.566941976547241,0.005624300800263882,20.0,16254.064855791003
5,post,12000,3.5647237300872803,0.005034512374550104,20.0,16588.306097958004
5,post,13000,3.567777156829834,0.0062708198092877865,20.0,16920.760427999994
5,post,14000,3.5524814128875732,0.0056961821392178535,20.0,17253.944492124996
5,post,15000,3.5670595169067383,0.004869144409894943,20.0,17586.539564833
5,post,16000,3.5710668563842773,0.006466658785939217,20.0,17919.22705424999
