seed,update,extra_revenue,ir_regret,gamma,elapsed_seconds
1,1,0.0,0.0,5.0,0.04028862499399111
1,200,1.3835870027542114,0.034013982862234116,8.890519956576092,9.80744845798472
1,400,1.2253526449203491,0.011858792044222355,14.994988735797,19.15569104097085
1,600,1.135411262512207,0.008689222857356071,20.0,29.56112937501166
1,800,1.100148320198059,0.006735115312039852,20.0,38.39192079100758
1,1000,1.171160101890564,0.009921815246343613,20.0,46.74037979100831
1,1200,1.173158884048462,0.008013684302568436,20.0,56.40164850000292
1,1400,1.1695023775100708,0.012103739194571972,20.0,69.02476633299375
1,1600,1.1367806196212769,0.007640380412340164,20.0,77.92495562497061
1,1800,1.1841740608215332,0.008741439320147038,20.0,89.51925654098159
1,2000,1.1543681621551514,0.00887134950608015,20.0,98.5448548750137
7,1,0.0,0.0,5.0,0.03216416703071445
7,200,1.4814714193344116,0.04828214645385742,8.883215804483347,9.476541917014401
7,400,1.1666617393493652,0.011263006366789341,14.990153722488174,18.975163499999326
7,600,1.168001651763916,0.00864544976502657,20.0,30.95888016698882
7,800,1.1755143404006958,0.010088562965393066,20.0,39.51522695802851
7,1000,1.1800475120544434,0.01225978322327137,20.0,47.82930575002683
7,1200,1.1762782335281372,0.00986294075846672,20.0,57.33911562501453
7,1400,1.2172868251800537,0.01185623649507761,20.0,65.82248366699787
7,1600,1.2046079635620117,0.011800394393503666,20.0,74.39768787502544
7,1800,1.1474419832229614,0.007548859808593988,20.0,84.02648649999173
7,2000,1.1328833103179932,0.006497045047581196,20.0,96.56487062503584
19,1,0.0,0.0,5.0,0.050273000029847026
19,200,1.368924856185913,0.04072592407464981,8.898799885209582,11.199531209014822
19,400,1.295456886291504,0.018341252580285072,15.003426336168594,21.488113875035197
19,600,1.1250711679458618,0.008333860896527767,20.0,31.58790941699408
19,800,1.206363320350647,0.01217794418334961,20.0,44.96384354203474
19,1000,1.1914317607879639,0.010014435276389122,20.0,62.9765919999918
19,1200,1.150256872177124,0.009114153683185577,20.0,73.01630995899905
19,1400,1.1197808980941772,0.008073212578892708,20.0,83.07071495900163
19,1600,1.196489930152893,0.01063701044768095,20.0,94.13297050003894
19,1800,1.2079548835754395,0.011741722002625465,20.0,104.01254595903447
19,2000,1.1292457580566406,0.008506136015057564,20.0,116.86988316703355
41,1,0.0,0.0,5.0,0.05916895903646946
41,200,1.3726410865783691,0.03524214029312134,8.892409651491278,10.374222417012788
41,400,1.2737106084823608,0.02299085631966591,14.996604177877146,21.928756584005896
41,600,1.0966050624847412,0.008548606187105179,20.0,44.33819187502377
41,800,1.1955389976501465,0.011547178030014038,20.0,54.91418600000907
41,1000,1.1068484783172607,0.006847592536360025,20.0,63.04978366702562
41,1200,1.1944929361343384,0.01187131553888321,20.0,72.84413362503983
41,1400,1.195603609085083,0.011824637651443481,20.0,93.20702358399285
41,1600,1.1972312927246094,0.013145622797310352,20.0,115.1885979170329
41,1800,1.1805367469787598,0.009913838468492031,20.0,130.32439512503333
41,2000,1.181318998336792,0.009639337658882141,20.0,143.23189241701039
73,1,0.0,0.0,5.0,0.06014133297139779
73,200,1.3962039947509766,0.035059813410043716,8.891180069801544,20.81180274998769
73,400,1.314784049987793,0.021730387583374977,14.999069342297942,85.12488979101181
73,600,1.130894660949707,0.008728591725230217,20.0,115.66510708298301
73,800,1.1418710947036743,0.010390639305114746,20.0,135.81131054100115
73,1000,1.1797585487365723,0.012033450417220592,20.0,156.37671820801916
73,1200,1.1467101573944092,0.009303892962634563,20.0,177.61417458299547
73,1400,1.1926672458648682,0.01250951737165451,20.0,204.23236529098358
73,1600,1.1837921142578125,0.011340792290866375,20.0,226.3065308330115
73,1800,1.2400379180908203,0.013911198824644089,20.0,236.85590491601033
73,2000,1.2020492553710938,0.009312416426837444,20.0,248.83836308302125
